"COUNTRY","Country","ISC11_LEVEL_CAT","Education level and programe orientation","INDICATOR","Indicator","EXPENDITURE_TYPE","Type of expenditure","REF_SECTOR","Source of funds","COUNTERPART_SECTOR","Institution type","YEAR","Year","Value","Flag Codes","Flags"
"ISR","Israel","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.883,,
"ISR","Israel","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",2.115,,
"ISR","Israel","L3","Upper secondary education (ISCED2011 level 3)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",4.161,"w","Includes data from another category"
"ISR","Israel","L3","Upper secondary education (ISCED2011 level 3)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",4.53,"w","Includes data from another category"
"SVN","Slovenia","L6T8","ISCED2011 levels 6 to 8","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.023,,
"SVN","Slovenia","L6T8","ISCED2011 levels 6 to 8","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",,"x","Data included in another category"
"SVN","Slovenia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.61,,
"SVN","Slovenia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.557,,
"LUX","Luxembourg","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","OUT_INST_T","Outside educational institutions","2014","2014",0.088,,
"LUX","Luxembourg","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","OUT_INST_T","Outside educational institutions","2015","2015",0.064,,
"ESP","Spain","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.146,,
"ESP","Spain","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",2.185,,
"NLD","Netherlands","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.01,,
"NLD","Netherlands","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",0.011,,
"TUR","Turkey","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",4.601,,
"TUR","Turkey","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",4.311,,
"JPN","Japan","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.769,"w","Includes data from another category"
"JPN","Japan","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.658,"w","Includes data from another category"
"DNK","Denmark","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"x","Data included in another category"
"DNK","Denmark","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",,"M","Missing value; data cannot exist"
"SWE","Sweden","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.081,,
"SWE","Sweden","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",0.086,,
"NZL","New Zealand","L3","Upper secondary education (ISCED2011 level 3)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.922,,
"NZL","New Zealand","L3","Upper secondary education (ISCED2011 level 3)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",3.927,,
"HUN","Hungary","L2","Lower secondary education (ISCED2011 level 2)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.186,,
"HUN","Hungary","L2","Lower secondary education (ISCED2011 level 2)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.339,,
"FRA","France","T","All ISCED levels","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",9.668,,
"FRA","France","T","All ISCED levels","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",9.661,,
"CAN","Canada","L6T8","ISCED2011 levels 6 to 8","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.057,,
"CAN","Canada","L6T8","ISCED2011 levels 6 to 8","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",,"x","Data included in another category"
"ESP","Spain","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.841,,
"ESP","Spain","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.885,,
"BEL","Belgium","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.778,,
"BEL","Belgium","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",2.865,,
"NZL","New Zealand","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.477,,
"NZL","New Zealand","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",0.491,,
"POL","Poland","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.939,"w","Includes data from another category"
"POL","Poland","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.912,,
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.832,,
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.658,,
"NZL","New Zealand","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.539,,
"NZL","New Zealand","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",2.613,,
"LVA","Latvia","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.426,,
"LVA","Latvia","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",0.452,,
"SVK","Slovak Republic","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.152,,
"SVK","Slovak Republic","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.081,,
"GBR","United Kingdom","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.976,,
"GBR","United Kingdom","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",3.162,,
"POL","Poland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.801,,
"POL","Poland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",2.928,,
"LVA","Latvia","L6T8","ISCED2011 levels 6 to 8","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.577,,
"LVA","Latvia","L6T8","ISCED2011 levels 6 to 8","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",2.726,,
"CHL","Chile","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",4.933,,
"CHL","Chile","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",5.013,,
"ISL","Iceland","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.597,,
"ISL","Iceland","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",2.838,,
"CZE","Czech Republic","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.014,,
"CZE","Czech Republic","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",0.014,,
"ESP","Spain","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.378,,
"ESP","Spain","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.387,,
"ISR","Israel","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",4.178,"w","Includes data from another category"
"ISR","Israel","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",4.553,,
"POL","Poland","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.443,,
"POL","Poland","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.468,,
"BRA","Brazil","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","OUT_INST_T","Outside educational institutions","2014","2014",0.987,,
"BRA","Brazil","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","OUT_INST_T","Outside educational institutions","2015","2015",1.188,,
"RUS","Russia","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"x","Data included in another category"
"RUS","Russia","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",,"x","Data included in another category"
"PRT","Portugal","T","All ISCED levels","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",9.897,,
"PRT","Portugal","T","All ISCED levels","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",10.13,,
"SVK","Slovak Republic","L3","Upper secondary education (ISCED2011 level 3)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.04,,
"SVK","Slovak Republic","L3","Upper secondary education (ISCED2011 level 3)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.974,,
"EST","Estonia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.575,,
"EST","Estonia","L2","Lower secondary education (ISCED2011 level 2)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.553,,
"CAN","Canada","L2","Lower secondary education (ISCED2011 level 2)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"x","Data included in another category"
"CAN","Canada","L2","Lower secondary education (ISCED2011 level 2)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",,"x","Data included in another category"
"ISL","Iceland","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.402,,
"ISL","Iceland","L0","Early childhood education  (ISCED2011 level 0)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",3.481,,
"ISR","Israel","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.016,,
"ISR","Israel","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",0.024,,
"KOR","Korea","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",4.997,,
"KOR","Korea","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",4.915,,
"EST","Estonia","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"z","Not applicable"
"EST","Estonia","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",,"z","Not applicable"
"KOR","Korea","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.371,,
"KOR","Korea","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",0.338,,
"AUS","Australia","L6T8","ISCED2011 levels 6 to 8","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.112,,
"AUS","Australia","L6T8","ISCED2011 levels 6 to 8","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",3.123,,
"AUT","Austria","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.697,,
"AUT","Austria","L1","Primary education (ISCED2011 level 1)","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2015","2015",1.772,,
"LTU","Lithuania","L6T8","ISCED2011 levels 6 to 8","FIN_PUBEXP","Expenditure on education as a share of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.837,,
